tract,Name,Employment_Rate
51013101803,"Lyon Park, Arlington, VA",0.6813
11001005301,"Northwest Washington, Washington, DC",0.6809
51510200801,"Taylor Run, Alexandria, VA",0.6772
11001004400,"Northwest Washington, Washington, DC",0.6751
11001003100,"Northwest Washington, Washington, DC",0.6742
24033807200,"College Park, MD",0.6684
51059415200,"Alexandria, VA",0.6666
11001006400,"Southwest Washington, Washington, DC",0.6642
11001009802,"Southeast Washington, Washington, DC",0.6571
11001003500,"Northwest Washington, Washington, DC",0.6551
11001007100,"Southeast Washington, Washington, DC",0.654
24031705100,"Chevy Chase, MD",0.653
51510201802,"Old Town, Alexandria, VA",0.6476
51059450200,"Falls Church, VA",0.647
51013102400,"Arlington Heights, Arlington, VA",0.6384
51013103503,"Crystal City, Arlington, VA",0.6355
11001005002,"Downtown, Washington, DC",0.6245
11001007200,"Capitol Riverfront, Washington, DC",0.6179
11001005900,"Northwest Washington, Washington, DC",0.6121
51059470900,"Falls Church, VA",0.6113
11001003400,"Howard University, Washington, DC",0.6051
51013102001,"Buckingham, Arlington, VA",0.6019
11001001301,"Northwest Washington, Washington, DC",0.5566
11001010800,"Northwest Washington, Washington, DC",
51013100500,"Donaldson Run, Arlington, VA",
11001000100,"Georgetown, Washington, DC",
51013103601,"Aurora Highlands, Arlington, VA",
24031705602,"Chevy Chase, MD",
51013100100,"Arlington, VA",
51059470300,"McLean, VA",
11001005600,"Northwest Washington, Washington, DC",
51059451100,"Falls Church, VA",
51059470700,"McLean, VA",
11001000801,"Northwest Washington, Washington, DC",
11001001100,"Northwest Washington, Washington, DC",
11001005500,"Northwest Washington, Washington, DC",
24031705501,"Chevy Chase, MD",
11001004202,"Northwest Washington, Washington, DC",
51059470400,"McLean, VA",
11001010700,"Downtown, Washington, DC",
11001006202,"Northwest Washington, Washington, DC",
51059450400,"Falls Church, VA",
51013100400,"Arlington, VA",
11001000902,"Northwest Washington, Washington, DC",
51013101403,"Virginia Square, Arlington, VA",
51510202002,"Old Town, Alexandria, VA",
51013102301,"Alcova Heights, Arlington, VA",
24031704805,"Bethesda, MD",
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",
51013101601,"North Highland, Arlington, VA",
11001001401,"Northwest Washington, Washington, DC",
24031705400,"Chevy Chase, MD",
11001000600,"Northwest Washington, Washington, DC",
51059450900,"Falls Church, VA",
11001000300,"Northwest Washington, Washington, DC",
24031705601,"Bethesda, MD",
